scenario,run,has_decision,decision_count,decision_types,scenario_type,is_tp,is_fp,is_fn,timestamp
backup,1,False,0,[],legitimate,False,False,False,2026-07-23T23:03:58.219104
backup,2,False,0,[],legitimate,False,False,False,2026-07-23T23:04:28.572590
backup,3,False,0,[],legitimate,False,False,False,2026-07-23T23:04:58.877702
backup,4,False,0,[],legitimate,False,False,False,2026-07-23T23:05:29.203875
backup,5,False,0,[],legitimate,False,False,False,2026-07-23T23:05:59.636797
update,1,False,0,[],legitimate,False,False,False,2026-07-23T23:06:29.830933
update,2,False,0,[],legitimate,False,False,False,2026-07-23T23:07:00.053498
update,3,False,0,[],legitimate,False,False,False,2026-07-23T23:07:30.392253
update,4,False,0,[],legitimate,False,False,False,2026-07-23T23:08:00.923491
update,5,False,0,[],legitimate,False,False,False,2026-07-23T23:08:31.443550
video_conference,1,False,0,[],legitimate,False,False,False,2026-07-23T23:09:01.678863
video_conference,2,False,0,[],legitimate,False,False,False,2026-07-23T23:09:31.910850
video_conference,3,False,0,[],legitimate,False,False,False,2026-07-23T23:10:02.357222
video_conference,4,False,0,[],legitimate,False,False,False,2026-07-23T23:10:32.792484
video_conference,5,False,0,[],legitimate,False,False,False,2026-07-23T23:11:03.021658
attack,1,False,0,[],attack,False,False,True,2026-07-23T23:11:33.217161
attack,2,False,0,[],attack,False,False,True,2026-07-23T23:12:03.662902
attack,3,False,0,[],attack,False,False,True,2026-07-23T23:12:33.921914
attack,4,False,0,[],attack,False,False,True,2026-07-23T23:13:04.155587
attack,5,False,0,[],attack,False,False,True,2026-07-23T23:13:34.386325
