anomaly_threshold,icmp_threshold,bandwidth_threshold,tp,fp,fn,tn,precision,recall,f1,fpr
1.5,500,0.7,7,13,0,2,0.35,1.0,0.5185185185185185,0.8666666666666667
1.5,500,0.75,7,13,0,2,0.35,1.0,0.5185185185185185,0.8666666666666667
1.5,500,0.8,7,11,0,4,0.3888888888888889,1.0,0.56,0.7333333333333333
1.5,500,0.85,7,11,0,4,0.3888888888888889,1.0,0.56,0.7333333333333333
1.5,500,0.9,7,10,0,5,0.4117647058823529,1.0,0.5833333333333334,0.6666666666666666
1.5,500,0.95,7,10,0,5,0.4117647058823529,1.0,0.5833333333333334,0.6666666666666666
1.5,1000,0.7,5,12,0,3,0.29411764705882354,1.0,0.45454545454545453,0.8
1.5,1000,0.75,5,12,0,3,0.29411764705882354,1.0,0.45454545454545453,0.8
1.5,1000,0.8,5,10,0,5,0.3333333333333333,1.0,0.5,0.6666666666666666
1.5,1000,0.85,5,10,0,5,0.3333333333333333,1.0,0.5,0.6666666666666666
1.5,1000,0.9,5,9,0,6,0.35714285714285715,1.0,0.5263157894736842,0.6
1.5,1000,0.95,5,9,0,6,0.35714285714285715,1.0,0.5263157894736842,0.6
1.5,2000,0.7,4,12,1,3,0.25,0.8,0.38095238095238093,0.8
1.5,2000,0.75,4,12,1,3,0.25,0.8,0.38095238095238093,0.8
1.5,2000,0.8,4,10,1,5,0.2857142857142857,0.8,0.4210526315789473,0.6666666666666666
1.5,2000,0.85,4,10,1,5,0.2857142857142857,0.8,0.4210526315789473,0.6666666666666666
1.5,2000,0.9,4,9,1,6,0.3076923076923077,0.8,0.4444444444444444,0.6
1.5,2000,0.95,4,9,1,6,0.3076923076923077,0.8,0.4444444444444444,0.6
1.5,3000,0.7,4,12,1,3,0.25,0.8,0.38095238095238093,0.8
1.5,3000,0.75,4,12,1,3,0.25,0.8,0.38095238095238093,0.8
1.5,3000,0.8,4,10,1,5,0.2857142857142857,0.8,0.4210526315789473,0.6666666666666666
1.5,3000,0.85,4,10,1,5,0.2857142857142857,0.8,0.4210526315789473,0.6666666666666666
1.5,3000,0.9,4,9,1,6,0.3076923076923077,0.8,0.4444444444444444,0.6
1.5,3000,0.95,4,9,1,6,0.3076923076923077,0.8,0.4444444444444444,0.6
1.5,5000,0.7,4,12,1,3,0.25,0.8,0.38095238095238093,0.8
1.5,5000,0.75,4,12,1,3,0.25,0.8,0.38095238095238093,0.8
1.5,5000,0.8,4,10,1,5,0.2857142857142857,0.8,0.4210526315789473,0.6666666666666666
1.5,5000,0.85,4,10,1,5,0.2857142857142857,0.8,0.4210526315789473,0.6666666666666666
1.5,5000,0.9,4,9,1,6,0.3076923076923077,0.8,0.4444444444444444,0.6
1.5,5000,0.95,4,9,1,6,0.3076923076923077,0.8,0.4444444444444444,0.6
2.0,500,0.7,6,9,0,6,0.4,1.0,0.5714285714285715,0.6
2.0,500,0.75,6,9,0,6,0.4,1.0,0.5714285714285715,0.6
2.0,500,0.8,6,7,0,8,0.46153846153846156,1.0,0.631578947368421,0.4666666666666667
2.0,500,0.85,6,7,0,8,0.46153846153846156,1.0,0.631578947368421,0.4666666666666667
2.0,500,0.9,6,6,0,9,0.5,1.0,0.6666666666666666,0.4
2.0,500,0.95,6,6,0,9,0.5,1.0,0.6666666666666666,0.4
2.0,1000,0.7,4,8,1,7,0.3333333333333333,0.8,0.47058823529411764,0.5333333333333333
2.0,1000,0.75,4,8,1,7,0.3333333333333333,0.8,0.47058823529411764,0.5333333333333333
2.0,1000,0.8,4,6,1,9,0.4,0.8,0.5333333333333333,0.4
2.0,1000,0.85,4,6,1,9,0.4,0.8,0.5333333333333333,0.4
2.0,1000,0.9,4,5,1,10,0.4444444444444444,0.8,0.5714285714285714,0.3333333333333333
2.0,1000,0.95,4,5,1,10,0.4444444444444444,0.8,0.5714285714285714,0.3333333333333333
2.0,2000,0.7,3,8,2,7,0.2727272727272727,0.6,0.37499999999999994,0.5333333333333333
2.0,2000,0.75,3,8,2,7,0.2727272727272727,0.6,0.37499999999999994,0.5333333333333333
2.0,2000,0.8,3,6,2,9,0.3333333333333333,0.6,0.42857142857142855,0.4
2.0,2000,0.85,3,6,2,9,0.3333333333333333,0.6,0.42857142857142855,0.4
2.0,2000,0.9,3,5,2,10,0.375,0.6,0.4615384615384615,0.3333333333333333
2.0,2000,0.95,3,5,2,10,0.375,0.6,0.4615384615384615,0.3333333333333333
2.0,3000,0.7,3,8,2,7,0.2727272727272727,0.6,0.37499999999999994,0.5333333333333333
2.0,3000,0.75,3,8,2,7,0.2727272727272727,0.6,0.37499999999999994,0.5333333333333333
2.0,3000,0.8,3,6,2,9,0.3333333333333333,0.6,0.42857142857142855,0.4
2.0,3000,0.85,3,6,2,9,0.3333333333333333,0.6,0.42857142857142855,0.4
2.0,3000,0.9,3,5,2,10,0.375,0.6,0.4615384615384615,0.3333333333333333
2.0,3000,0.95,3,5,2,10,0.375,0.6,0.4615384615384615,0.3333333333333333
2.0,5000,0.7,3,8,2,7,0.2727272727272727,0.6,0.37499999999999994,0.5333333333333333
2.0,5000,0.75,3,8,2,7,0.2727272727272727,0.6,0.37499999999999994,0.5333333333333333
2.0,5000,0.8,3,6,2,9,0.3333333333333333,0.6,0.42857142857142855,0.4
2.0,5000,0.85,3,6,2,9,0.3333333333333333,0.6,0.42857142857142855,0.4
2.0,5000,0.9,3,5,2,10,0.375,0.6,0.4615384615384615,0.3333333333333333
2.0,5000,0.95,3,5,2,10,0.375,0.6,0.4615384615384615,0.3333333333333333
2.5,500,0.7,5,6,0,9,0.45454545454545453,1.0,0.625,0.4
2.5,500,0.75,5,6,0,9,0.45454545454545453,1.0,0.625,0.4
2.5,500,0.8,5,4,0,11,0.5555555555555556,1.0,0.7142857142857143,0.26666666666666666
2.5,500,0.85,5,4,0,11,0.5555555555555556,1.0,0.7142857142857143,0.26666666666666666
2.5,500,0.9,5,3,0,12,0.625,1.0,0.7692307692307693,0.2
2.5,500,0.95,5,3,0,12,0.625,1.0,0.7692307692307693,0.2
2.5,1000,0.7,3,5,2,10,0.375,0.6,0.4615384615384615,0.3333333333333333
2.5,1000,0.75,3,5,2,10,0.375,0.6,0.4615384615384615,0.3333333333333333
2.5,1000,0.8,3,3,2,12,0.5,0.6,0.5454545454545454,0.2
2.5,1000,0.85,3,3,2,12,0.5,0.6,0.5454545454545454,0.2
2.5,1000,0.9,3,2,2,13,0.6,0.6,0.6,0.13333333333333333
2.5,1000,0.95,3,2,2,13,0.6,0.6,0.6,0.13333333333333333
2.5,2000,0.7,2,5,3,10,0.2857142857142857,0.4,0.3333333333333333,0.3333333333333333
2.5,2000,0.75,2,5,3,10,0.2857142857142857,0.4,0.3333333333333333,0.3333333333333333
2.5,2000,0.8,2,3,3,12,0.4,0.4,0.4000000000000001,0.2
2.5,2000,0.85,2,3,3,12,0.4,0.4,0.4000000000000001,0.2
2.5,2000,0.9,2,2,3,13,0.5,0.4,0.4444444444444445,0.13333333333333333
2.5,2000,0.95,2,2,3,13,0.5,0.4,0.4444444444444445,0.13333333333333333
2.5,3000,0.7,2,5,3,10,0.2857142857142857,0.4,0.3333333333333333,0.3333333333333333
2.5,3000,0.75,2,5,3,10,0.2857142857142857,0.4,0.3333333333333333,0.3333333333333333
2.5,3000,0.8,2,3,3,12,0.4,0.4,0.4000000000000001,0.2
2.5,3000,0.85,2,3,3,12,0.4,0.4,0.4000000000000001,0.2
2.5,3000,0.9,2,2,3,13,0.5,0.4,0.4444444444444445,0.13333333333333333
2.5,3000,0.95,2,2,3,13,0.5,0.4,0.4444444444444445,0.13333333333333333
2.5,5000,0.7,2,5,3,10,0.2857142857142857,0.4,0.3333333333333333,0.3333333333333333
2.5,5000,0.75,2,5,3,10,0.2857142857142857,0.4,0.3333333333333333,0.3333333333333333
2.5,5000,0.8,2,3,3,12,0.4,0.4,0.4000000000000001,0.2
2.5,5000,0.85,2,3,3,12,0.4,0.4,0.4000000000000001,0.2
2.5,5000,0.9,2,2,3,13,0.5,0.4,0.4444444444444445,0.13333333333333333
2.5,5000,0.95,2,2,3,13,0.5,0.4,0.4444444444444445,0.13333333333333333
3.0,500,0.7,3,3,2,12,0.5,0.6,0.5454545454545454,0.2
3.0,500,0.75,3,3,2,12,0.5,0.6,0.5454545454545454,0.2
3.0,500,0.8,3,1,2,14,0.75,0.6,0.6666666666666665,0.06666666666666667
3.0,500,0.85,3,1,2,14,0.75,0.6,0.6666666666666665,0.06666666666666667
3.0,500,0.9,3,0,2,15,1.0,0.6,0.7499999999999999,0.0
3.0,500,0.95,3,0,2,15,1.0,0.6,0.7499999999999999,0.0
3.0,1000,0.7,1,2,4,13,0.3333333333333333,0.2,0.25,0.13333333333333333
3.0,1000,0.75,1,2,4,13,0.3333333333333333,0.2,0.25,0.13333333333333333
3.0,1000,0.8,1,0,4,15,1.0,0.2,0.33333333333333337,0.0
3.0,1000,0.85,1,0,4,15,1.0,0.2,0.33333333333333337,0.0
3.0,1000,0.9,1,0,4,15,1.0,0.2,0.33333333333333337,0.0
3.0,1000,0.95,1,0,4,15,1.0,0.2,0.33333333333333337,0.0
3.0,2000,0.7,0,2,5,13,0.0,0.0,0.0,0.13333333333333333
3.0,2000,0.75,0,2,5,13,0.0,0.0,0.0,0.13333333333333333
3.0,2000,0.8,0,0,5,15,0.0,0.0,0.0,0.0
3.0,2000,0.85,0,0,5,15,0.0,0.0,0.0,0.0
