segmenter_type,topology_size,num_vlans_expected,conductance,normalized_cut,num_clusters_actual,num_nodes,actions,time_ms,seed,is_warmup,topology
greedy,10,3,0.0,0.0,1,10,6,0.8051000004343223,1,False,small
greedy,10,3,0.0,0.0,1,10,6,0.8672999974805862,2,False,small
greedy,10,3,0.0,0.0,1,10,6,0.7106000011845026,3,False,small
greedy,10,3,0.0,0.0,1,10,6,0.8101999992504716,4,False,small
greedy,10,3,0.0,0.0,1,10,6,0.9121000002778601,5,False,small
greedy,10,3,0.0,0.0,1,10,6,0.7614999994984828,6,False,small
greedy,10,3,0.0,0.0,1,10,6,0.715199999831384,7,False,small
greedy,10,3,0.0,0.0,1,10,6,0.710700001945952,8,False,small
greedy,10,3,0.0,0.0,1,10,6,0.7750000004307367,9,False,small
greedy,10,3,0.0,0.0,1,10,6,0.7834000025468413,10,False,small
sa,10,3,0.0,0.0,1,10,6,5.022500001359731,1,False,small
sa,10,3,0.2,0.26666666666666666,2,10,7,4.526400000031572,2,False,small
sa,10,3,0.2,0.26666666666666666,2,10,7,4.736899998533772,3,False,small
sa,10,3,0.2,0.26666666666666666,2,10,6,4.667099998187041,4,False,small
sa,10,3,0.2,0.26666666666666666,2,10,7,4.443699999683304,5,False,small
sa,10,3,0.0,0.0,1,10,7,4.322699998738244,6,False,small
sa,10,3,0.0,0.0,1,10,7,4.57520000054501,7,False,small
sa,10,3,0.0,0.0,1,10,7,4.514699998253491,8,False,small
sa,10,3,0.0,0.0,1,10,6,4.147499999817228,9,False,small
sa,10,3,0.0,0.0,1,10,7,4.176700000243727,10,False,small
spectral,10,3,0.3055555555555555,0.45634920634920634,3,10,5,30.817300001217518,1,False,small
spectral,10,3,0.3055555555555555,0.45634920634920634,3,10,5,30.050900000787806,2,False,small
spectral,10,3,0.3055555555555555,0.45634920634920634,3,10,5,32.86430000298424,3,False,small
spectral,10,3,0.3055555555555555,0.45634920634920634,3,10,5,37.54620000108844,4,False,small
spectral,10,3,0.3055555555555555,0.45634920634920634,3,10,5,34.53300000182935,5,False,small
spectral,10,3,0.3055555555555555,0.45634920634920634,3,10,7,34.234499999001855,6,False,small
spectral,10,3,0.3055555555555555,0.45634920634920634,3,10,5,35.43549999812967,7,False,small
spectral,10,3,0.3055555555555555,0.45634920634920634,3,10,7,32.364300001063384,8,False,small
spectral,10,3,0.3055555555555555,0.45634920634920634,3,10,5,32.16160000010859,9,False,small
spectral,10,3,0.3055555555555555,0.45634920634920634,3,10,5,32.62739999991027,10,False,small
greedy,50,8,0.0,0.0,1,50,43,27.18770000137738,1,False,medium
greedy,50,8,0.0,0.0,1,50,43,27.953500000876375,2,False,medium
greedy,50,8,0.0,0.0,1,50,43,34.44459999809624,3,False,medium
