,,conductance,conductance,conductance,conductance,normalized_cut,normalized_cut,time_ms,time_ms,actions,actions,num_clusters_actual
,,mean,std,min,max,mean,std,mean,std,mean,std,mean
topology,segmenter_type,,,,,,,,,,,
large,greedy,0.8462,0.0,0.8462,0.8462,0.8959,0.0,126.1899,24.0038,87.0,0.0,2.0
large,sa,0.8989,0.0238,0.8396,0.9222,0.9624,0.0253,16.7649,0.3013,70.4,9.4892,15.0
large,spectral,0.2669,0.0087,0.2549,0.2733,0.2874,0.0093,59.184,6.8456,84.7,1.6364,15.0
medium,greedy,0.0,0.0,0.0,0.0,0.0,0.0,19.8058,7.446,43.0,0.0,1.0
medium,sa,0.8105,0.0565,0.7072,0.8807,0.9079,0.0581,9.4304,0.4525,42.7,2.5408,8.0
medium,spectral,0.2534,0.0014,0.2494,0.2538,0.2914,0.0013,38.4727,5.5967,39.8,1.3984,8.0
small,greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.7851,0.0671,6.0,0.0,1.0
small,sa,0.08,0.1033,0.0,0.2,0.1067,0.1377,4.5133,0.2636,6.7,0.483,1.4
small,spectral,0.3056,0.0,0.3056,0.3056,0.4563,0.0,33.2635,2.2237,5.4,0.8433,3.0
